short_name,station_id,legacy_id,capacity,name,lat,lon,date,year
3233.06,753415aa-9bb4-4f72-bb5c-0906365177d0,4419,24,44 St & 6 Ave,40.647105,-74.004483,2023-03-22,2023
3233.06,753415aa-9bb4-4f72-bb5c-0906365177d0,4419,24,44 St & 6 Ave,40.647105,-74.004483,2022-12-12,2022
3233.06,753415aa-9bb4-4f72-bb5c-0906365177d0,4419,24,44 St & 6 Ave,40.647105,-74.004483,2021-09-22,2021
3240.15,3f05490b-a3d8-4d15-bd25-0212555b5dff,4358,23,Fort Hamilton Pkwy & E 5 St,40.649037,-73.97673,2024-09-26,2024
3240.15,3f05490b-a3d8-4d15-bd25-0212555b5dff,4358,23,Ft. Hamilton Pkwy & E 5 St,40.649037,-73.97673,2023-03-22,2023
3240.15,3f05490b-a3d8-4d15-bd25-0212555b5dff,4358,23,Ft. Hamilton Pkwy & E 5 St,40.649037,-73.97673,2022-12-12,2022
3240.15,3f05490b-a3d8-4d15-bd25-0212555b5dff,4358,23,Ft. Hamilton Pkwy & E 5 St,40.649037,-73.97673,2021-09-22,2021
3243.02,1dba415a-2c46-419e-838d-7e068b8d7d6f,4389,23,47 St & 3 Ave,40.649143,-74.012384,2024-09-26,2024
3243.02,1dba415a-2c46-419e-838d-7e068b8d7d6f,4389,23,47 St & 3 Ave,40.649143,-74.012384,2023-03-22,2023
3243.02,1dba415a-2c46-419e-838d-7e068b8d7d6f,4389,23,47 St & 3 Ave,40.649143,-74.012384,2022-12-12,2022
3243.02,1dba415a-2c46-419e-838d-7e068b8d7d6f,4389,23,47 St & 3 Ave,40.649143,-74.012384,2021-09-22,2021
3246.06,1828965172312150882,1828965172312150882,22,New York Ave & Snyder Ave,40.64868,-73.94635,2024-09-26,2024
